,Flname,FnName,Art,Max,Unq,Len,OT,pred
44,2_1_1_constant_char_2_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
45,2_1_1_constant_char_2_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
46,2_1_1_constant_char_2_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
47,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,1
48,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr5_i$nit,16.1487824756,6.71292734044,4,4,0,1
49,2_1_1_constant_char_2_encl.prob3,_1_stringEncoder,1837.45430685,8.175571680900001,10,522,1,-1
50,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,1
51,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,1
52,2_1_1_constant_char_2_encl.prob3,megaInit,43.589456035299996,6.116760716919999,5,10,0,1
53,2_1_1_constant_char_2_encl.prob3,main,222.20654198,8.51844596613,16,81,1,-1
54,2_1_1_constant_char_2_encl.prob3,function_1,1168.09794296,8.80976354467,23,276,3,-1
55,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,1
56,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,1
57,2_1_1_constant_char_2_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
58,2_1_1_constant_char_2_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
59,7_1_3_constant_long_0_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
60,7_1_3_constant_long_0_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
61,7_1_3_constant_long_0_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
62,7_1_3_constant_long_0_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
63,7_1_3_constant_long_0_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
64,7_1_3_constant_long_0_flat.prob3,main,308.567705751,7.378112199380001,16,106,0,1
65,7_1_3_constant_long_0_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
66,7_1_3_constant_long_0_flat.prob3,function_1,857.949080185,7.84798703507,20,280,1,-1
67,7_1_3_constant_long_0_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
68,7_1_3_constant_long_0_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
69,7_1_3_constant_long_0_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
70,7_1_3_constant_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
71,7_1_3_constant_long_0_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
72,7_1_3_constant_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
73,7_1_3_constant_long_0_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
74,7_1_3_constant_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
75,7_1_3_constant_long_0_enca.prob3,function_1,4253.16921053,9.905820116260001,23,1073,7,-1
76,7_1_3_constant_long_0_enca.prob3,main,406.935168346,8.702087417769999,19,121,2,1
77,7_1_3_constant_long_0_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
78,7_1_3_constant_long_0_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
79,RF-default_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
80,RF-default_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
81,RF-default_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
82,RF-default_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
83,RF-default_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
84,RF-default_jmp.prob3,_NONAME1,1409.35060083,40.0,16,103,35,-1
85,RF-default_jmp.prob3,SECRET_1,787.140394512,10.9506955038,16,210,3,-1
86,RF-default_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
87,RF-default_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
88,2_1_1_constant_char_2.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
89,2_1_1_constant_char_2.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
90,2_1_1_constant_char_2.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
91,2_1_1_constant_char_2.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
92,2_1_1_constant_char_2.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
93,2_1_1_constant_char_2.prob3,main,195.27900203099998,9.277623847100001,16,59,2,1
94,2_1_1_constant_char_2.prob3,function_1,1255.8373577,40.0,22,267,6,-1
95,2_1_1_constant_char_2.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
96,2_1_1_constant_char_2.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
97,RF-default_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
98,RF-default_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
99,RF-default_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
100,RF-default_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
101,RF-default_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
102,RF-default_encl.prob3,SECRET_1,795.811502769,10.9506955038,17,211,3,-1
103,RF-default_encl.prob3,_1_stringEncoder,911.8242586480001,8.175571680900001,12,260,1,-1
104,RF-default_encl.prob3,megaInit,25.142789193800002,6.116760716919999,5,6,0,1
105,RF-default_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,1
106,RF-default_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,1
107,RF-default_encl.prob3,main,185.740134123,8.51844596613,13,71,1,-1
108,RF-default_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
109,RF-default_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
110,test_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
111,test_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
112,test_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
113,test_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
114,test_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
115,test_aaa.prob3,main,1372.72386081,9.66291785791,18,460,2,-1
116,test_aaa.prob3,failed,89.4547035623,8.69519979167,11,20,1,1
117,test_aaa.prob3,succeeded,81.4963360341,6.4254274125199995,10,24,0,1
118,test_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
119,test_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
120,test_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
121,1_1_0_constant_short_3_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
122,1_1_0_constant_short_3_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
123,1_1_0_constant_short_3_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
124,1_1_0_constant_short_3_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
125,1_1_0_constant_short_3_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
126,1_1_0_constant_short_3_jmp.prob3,_NONAME1,3741.82859828,40.0,27,494,59,-1
127,1_1_0_constant_short_3_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
128,1_1_0_constant_short_3_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
129,chklic_891022408_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
130,chklic_891022408_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
131,chklic_891022408_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
132,chklic_891022408_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
133,chklic_891022408_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
134,chklic_891022408_aaa.prob3,renewlicense,117.514487567,6.4254274125199995,14,32,0,1
135,chklic_891022408_aaa.prob3,failed,87.1135830157,6.4254274125199995,10,28,0,1
136,chklic_891022408_aaa.prob3,checklicense,690.315403439,9.66291785791,19,190,4,-1
137,chklic_891022408_aaa.prob3,main,240.054613123,5.28333779158,12,122,0,-1
138,chklic_891022408_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,1
139,chklic_891022408_aaa.prob3,megaInit,25.142789193800002,6.116760716919999,5,6,0,1
140,chklic_891022408_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,1
141,chklic_891022408_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
142,chklic_891022408_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
143,2_1_1_constant_char_2_jmp.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
144,2_1_1_constant_char_2_jmp.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
145,2_1_1_constant_char_2_jmp.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
146,2_1_1_constant_char_2_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
147,2_1_1_constant_char_2_jmp.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
148,2_1_1_constant_char_2_jmp.prob3,_NONAME1,3724.80685038,40.0,27,337,75,-1
149,2_1_1_constant_char_2_jmp.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
150,2_1_1_constant_char_2_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
151,test_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
152,test_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
153,test_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
154,test_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
155,test_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
156,test_enca.prob3,failed,26.480878819,6.2811052390799995,6,7,0,1
157,test_enca.prob3,main,393.796753282,9.55432852263,19,119,3,-1
158,test_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
159,test_enca.prob3,succeeded,26.480878819,6.2811052390799995,6,7,0,1
160,test_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
161,test_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
162,test_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
163,test_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
164,test_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
165,test_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
166,test_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
167,test_flat.prob3,succeeded,58.9276460083,6.01453814696,12,17,0,1
168,test_flat.prob3,failed,63.3747192799,6.01453814696,11,18,0,1
169,test_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
170,test_flat.prob3,main,308.12444893,7.378112199380001,14,119,0,-1
171,test_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
172,test_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
173,test_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
174,test_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
175,test_addop.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
176,test_addop.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
177,test_addop.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
178,test_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
179,test_addop.prob3,_NONAME1,1063.78045553,40.0,19,400,6,-1
180,test_addop.prob3,succeeded,26.480878819,6.2811052390799995,6,7,0,1
181,test_addop.prob3,failed,26.480878819,6.2811052390799995,6,7,0,1
182,test_addop.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
183,test_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
184,RF-default_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
185,RF-default_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
186,RF-default_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
187,RF-default_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
188,RF-default_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
189,RF-default_vir.prob3,SECRET_1,1524.59053703,7.378112199380001,22,543,0,-1
190,RF-default_vir.prob3,main,1352.51102522,6.93028463959,20,482,0,-1
191,RF-default_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
192,RF-default_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
193,RF-default_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
194,1_1_0_constant_short_3_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
195,1_1_0_constant_short_3_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
196,1_1_0_constant_short_3_addop.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
197,1_1_0_constant_short_3_addop.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
198,1_1_0_constant_short_3_addop.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
199,1_1_0_constant_short_3_addop.prob3,main,354.03062884599996,8.51844596613,16,157,1,-1
200,1_1_0_constant_short_3_addop.prob3,_NONAME1,3800.46947535,40.0,26,967,19,-1
201,1_1_0_constant_short_3_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
202,1_1_0_constant_short_3_addop.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
203,1_1_0_constant_short_3_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
204,1_1_0_constant_short_3_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
205,1_1_0_constant_short_3_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
206,1_1_0_constant_short_3_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
207,1_1_0_constant_short_3_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
208,1_1_0_constant_short_3_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
209,1_1_0_constant_short_3_vir.prob3,function_1,2636.08480176,7.756138394530001,29,932,1,-1
210,1_1_0_constant_short_3_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
211,1_1_0_constant_short_3_vir.prob3,main,1467.64366671,6.93028463959,21,515,0,-1
212,1_1_0_constant_short_3_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
213,1_1_0_constant_short_3_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
214,1_1_0_constant_short_3.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
215,1_1_0_constant_short_3.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
216,1_1_0_constant_short_3.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
217,1_1_0_constant_short_3.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
218,1_1_0_constant_short_3.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
219,1_1_0_constant_short_3.prob3,function_1,1826.36559537,40.0,22,402,8,-1
220,1_1_0_constant_short_3.prob3,main,195.065904621,9.277623847100001,15,59,2,1
221,1_1_0_constant_short_3.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
222,1_1_0_constant_short_3.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
223,2_1_1_constant_char_2_vir.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
224,2_1_1_constant_char_2_vir.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
225,2_1_1_constant_char_2_vir.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
226,2_1_1_constant_char_2_vir.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
227,2_1_1_constant_char_2_vir.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
228,2_1_1_constant_char_2_vir.prob3,main,1466.3059642,6.93028463959,21,515,0,-1
229,2_1_1_constant_char_2_vir.prob3,function_1,2370.51058448,7.756138394530001,27,834,1,-1
230,2_1_1_constant_char_2_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
231,2_1_1_constant_char_2_vir.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
232,2_1_1_constant_char_2_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
233,1_1_0_constant_short_3_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
234,1_1_0_constant_short_3_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
235,1_1_0_constant_short_3_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
236,1_1_0_constant_short_3_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
237,1_1_0_constant_short_3_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
238,1_1_0_constant_short_3_enca.prob3,function_1,21953.927879099996,9.6603932222,27,4078,194,-1
239,1_1_0_constant_short_3_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
240,1_1_0_constant_short_3_enca.prob3,main,501.400710282,8.702087417769999,18,139,1,-1
241,1_1_0_constant_short_3_enca.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
242,1_1_0_constant_short_3_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
243,1_1_0_constant_short_3_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
244,1_1_0_constant_short_3_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
245,1_1_0_constant_short_3_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
246,1_1_0_constant_short_3_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
247,1_1_0_constant_short_3_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
248,1_1_0_constant_short_3_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
249,1_1_0_constant_short_3_flat.prob3,main,323.965790763,7.378112199380001,18,109,0,-1
250,1_1_0_constant_short_3_flat.prob3,function_1,1814.60490641,7.91883377594,25,432,5,-1
251,1_1_0_constant_short_3_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
252,1_1_0_constant_short_3_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
253,test.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
254,test.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
255,test.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
256,test.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
257,test.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
258,test.prob3,succeeded,20.8443534477,6.057313729500001,5,6,0,1
259,test.prob3,failed,20.8443534477,6.057313729500001,5,6,0,1
260,test.prob3,main,167.482742675,4.5905539295699995,10,72,0,-1
261,test.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
262,test.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
263,chklic_891022408_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
264,chklic_891022408_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
265,chklic_891022408_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
266,chklic_891022408_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
267,chklic_891022408_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
268,chklic_891022408_encl.prob3,megaInit,43.589456035299996,6.116760716919999,5,10,0,1
269,chklic_891022408_encl.prob3,checklicense,125.128740259,5.294652719559999,11,51,0,1
270,chklic_891022408_encl.prob3,_1_stringEncoder,1965.60614226,8.175571680900001,12,558,1,-1
271,chklic_891022408_encl.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,1
272,chklic_891022408_encl.prob3,renewlicense,32.4108799632,6.2811052390799995,6,11,0,1
273,chklic_891022408_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,1
274,chklic_891022408_encl.prob3,main,38.0700241283,3.9190129365900006,6,19,0,1
275,chklic_891022408_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,1
276,chklic_891022408_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,1
277,chklic_891022408_encl.prob3,failed,32.4108799632,6.2811052390799995,6,11,0,1
278,chklic_891022408_encl.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,1
279,chklic_891022408_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,1
280,chklic_891022408_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,1
281,chklic_891022408_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,-1
282,7_1_3_constant_long_0_addop.prob3,_start,43.120383114300004,4.37618793455,7,12,0,1
283,7_1_3_constant_long_0_addop.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,1
284,7_1_3_constant_long_0_addop.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,1
285,7_1_3_constant_long_0_addop.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,1
286,7_1_3_constant_long_0_addop.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,1
287,7_1_3_constant_long_0_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,1
